[BENCH],Algo,Test,AlgInter,Time (ms),Time (ns),Dt (ns),Max (ns),Min (ns),Time iterations,Average Time Iter
[BENCH],Splay,Insert,100000,0,56077,388,70114,51769,Tested on 100 iterations,"560,77"
[BENCH],Splay,Find,10,0,2639,1202,6749,2013,Tested on 10000 iterations,"26,39"
[BENCH],Splay,Find,100,0,7587,501,11243,6776,Tested on 1000 iterations,"75,87"
[BENCH],Splay,Find,1000,0,14571,216,17672,13265,Tested on 100 iterations,"145,71"
[BENCH],Splay,Find,10000,0,28333,290,34013,26017,Tested on 100 iterations,"283,33"
[BENCH],Splay,Find,50000,0,40241,323,45674,36508,Tested on 100 iterations,"402,41"
[BENCH],Splay,Find,100000,0,46521,345,51967,42662,Tested on 100 iterations,"465,21"
[BENCH],Splay,Remove,10,0,576,979,3946,288,Tested on 10000 iterations,"5,76"
[BENCH],Splay,Remove,100,0,9092,542,13061,7835,Tested on 1000 iterations,"90,92"
[BENCH],Splay,Remove,1000,0,18645,214,21635,17367,Tested on 100 iterations,"186,45"
[BENCH],Splay,Remove,10000,0,34550,292,38001,31677,Tested on 100 iterations,"345,5"
[BENCH],Splay,Remove,50000,0,47817,339,51367,44933,Tested on 100 iterations,"478,17"
[BENCH],Splay,Remove,100000,0,55811,437,74250,50968,Tested on 100 iterations,"558,11"
[BENCH],Sorted_Array,Find,10,0,2208,1000,6079,1774,Tested on 10000 iterations,"22,08"
[BENCH],Sorted_Array,Find,100,0,3102,275,4889,2790,Tested on 1000 iterations,"31,02"
[BENCH],Sorted_Array,Find,1000,0,4094,89,5048,3846,Tested on 100 iterations,"40,94"
[BENCH],Sorted_Array,Find,10000,0,5329,90,5595,5125,Tested on 100 iterations,"53,29"
[BENCH],Sorted_Array,Find,50000,0,6544,107,8018,6241,Tested on 100 iterations,"65,44"
[BENCH],Sorted_Array,Find,100000,0,7747,116,8308,7357,Tested on 100 iterations,"77,47"
